university;year;rank_display;score;country;city;region;type;research_output;student_faculty_ratio;international_students;size;faculty_count
The University of Western Australia;2017;102;62.7;Australia;Perth;Oceania;Public;Very High;12.0;9,017;L;1,539
Utrecht University;2017;104;62.4;Netherlands;Utrecht;Europe;Public;Very High;10.0;4,454;XL;3,254
University of Science and Technology of China;2017;104;62.4;China (Mainland);Hefei;Asia;Public;Very High;7.0;1,019;L;2,708
Sungkyunkwan University(SKKU);2017;106;61.5;South Korea;Suwon;Asia;Private;Very High;7.0;3,821;L;3,313
Washington University in St. Louis;2017;106;62.2;United States;St. Louis;North America;Private;Very High;5.0;3,535;L;3,193
Lomonosov Moscow State University;2017;108;62.1;Russia;Moscow;Europe;Public;Very High;5.0;5,476;XL;6,575
Technical University of Denmark;2017;109;61.8;Denmark;Kongens Lyngby;Europe;Public;Very High;4.0;2,495;M;2,219
Zhejiang University;2017;110;61.6;China (Mainland);Hangzhou;Asia;Public;Very High;7.0;9,177;XL;6,065
The Hong Kong Polytechnic University;2017;111;61.4;Hong Kong SAR;Hong Kong;Asia;Public;Very High;7.0;5,774;L;2,822
Yonsei University;2017;112;60.5;South Korea;Seoul;Asia;Private;Very High;6.0;4,274;L;3,605
University of Oslo;2017;113;60.0;Norway;Oslo;Europe;Public;Very High;7.0;2,560;L;2,600
University of Groningen;2017;113;60.0;Netherlands;Groningen;Europe;Public;Very High;8.0;9,397;XL;3,724
Nanjing University;2017;115;59.6;China (Mainland);Nanjing;Asia;Public;Very High;11.0;2,513;XL;3,040
Nagoya University;2017;115;59.6;Japan;Nagoya;Asia;Public;Very High;6.0;1,879;L;2,512
Aarhus University;2017;117;59.5;Denmark;;Europe;Public;Very High;11.0;2,911;L;683
University of California, Santa Barbara (UCSB);2017;118;59.4;United States;Santa Barbara;North America;Public;Very High;16.0;4,309;L;1,597
Wageningen University & Research;2017;119;59.1;Netherlands;Wageningen;Europe;Public;Very High;5.0;4,131;L;2,767
Universidade de São Paulo;2017;120;59.0;Brazil;São Paulo;Latin America;Public;Very High;13.0;1,858;XL;4,943
Humboldt-Universität zu Berlin;2017;121;58.9;Germany;Berlin;Europe;Public;Very High;17.0;5,239;XL;1,967
Eindhoven University of Technology;2017;121;58.9;Netherlands;Eindhoven;Europe;Public;Very High;9.0;1,872;M;1,145
Freie Universitaet Berlin;2017;123;58.7;Germany;Berlin;Europe;Public;Very High;25.0;6,659;XL;1,389
Queen Mary University of London;2017;123;58.7;United Kingdom;London;Europe;Public;Very High;9.0;8,625;L;2,119
The University of Adelaide;2017;125;58.6;Australia;Adelaide;Oceania;Public;Very High;13.0;10,107;L;1,757
Université de Montréal ;2017;126;58.5;Canada;Montreal;North America;Public;Very High;7.0;7,625;XL;5,533
University of York;2017;127;58.4;United Kingdom;York;Europe;Public;Very High;9.0;5,098;L;2,209
Universidad Nacional Autónoma de México  (UNAM);2017;128;58.3;Mexico;Mexico City;Latin America;Public;Very High;9.0;5,110;XL;16,381
Lancaster University;2017;129;57.9;United Kingdom;Lancaster;Europe;Public;Very High;10.0;5,557;L;1,440
