university;year;rank_display;score;country;city;region;type;research_output;student_faculty_ratio;international_students;size;faculty_count
Universidad Carlos III de Madrid (UC3M);2017;280;37.8;Spain;Madrid;Europe;Public;Very High;9.0;2.110;L;2.119
Birkbeck, University of London;2017;280;37.8;United Kingdom;London;Europe;Public;Very High;14.0;3.214;M;585
Linköping University;2017;282;37.7;Sweden;Linköping;Europe;Public;Very High;11.0;2.514;L;1.471
Mahidol University;2017;283;37.6;Thailand;Nakhon Pathom;Asia;Public;Very High;7.0;1,415;L;3,850
Universitat Pompeu Fabra (Barcelona);2017;283;37.6;Spain;Barcelona;Europe;Public;Very High;16.0;1,633;L;785
University College Cork;2017;283;37.6;Ireland;Cork;Europe;Public;High;10.0;3,002;L;1,619
King Abdulaziz University (KAU);2017;283;37.6;Saudi Arabia;Jeddah;Asia;Public;Very High;8.0;6,821;XL;4,054
Dalhousie University;2017;283;37.6;Canada;Halifax;North America;Public;Very High;14.0;4,483;L;1,150
University of South Australia;2017;288;37.4;Australia;Magill;Oceania;Public;Very High;13.0;4.886;L;1.524
Universiti Teknologi Malaysia ;2017;288;37.4;Malaysia;Skudai;Asia;Public;Very High;11.0;4,956;L;1,869
University of St.Gallen (HSG);2017;288;37.4;Switzerland;St. Gallen;Europe;Public;Very High;20.0;2.390;M;444
Indiana University Bloomington;2017;291;37.3;United States;Bloomington;North America;Public;Very High;11.0;3,722;XL;3,837
University of Ottawa;2017;291;37.3;Canada;Ottawa;North America;Public;Very High;22.0;8,885;XL;1,677
Novosibirsk State University;2017;291;37.3;Russia;Novosibirsk ;Europe;Public;Very High;6.0;1,623;M;1,218
Westfälische Wilhelms-Universität Münster ;2017;294;37.2;Germany;Münster;Europe;Public;Very High;10.0;2.845;XL;4.230
Umea University;2017;294;37.2;Sweden;Umeå;Europe;Public;Very High;7.0;1.186;L;1.966
University of California, Santa Cruz;2017;296;37.1;United States;Santa Cruz;North America;Public;Very High;18.0;2.130;L;1.045
Sun Yat-sen University;2017;297;37.0;China (Mainland);Guangzhou;Asia;Public;Very High;8.0;3,127;XL;7,002
Hiroshima University;2017;297;37.0;Japan;Higashihiroshima City;Asia;Public;Very High;6.0;1.680;L;2.366
Universität Innsbruck;2017;299;36.9;Austria;Innsbruck;Europe;Public;High;8.0;6,323;L;1,769
Boston College;2017;299;36.9;United States;Newton;North America;Private;Very High;13.0;1.471;L;1.048
Rutgers University–New Brunswick;2017;301;36.8;United States;New Brunswick;North America;Public;Very High;9.0;7,965;XL;5,009
Charles University;2017;302;36.7;Czech Republic;Prague;Europe;Public;Very High;9.0;9,080;XL;5,019
Universiti Kebangsaan Malaysia (UKM);2017;302;36.7;Malaysia;Bangi;Asia;Public;Very High;6.0;2,410;L;2,829
Indian Institute of Technology Kanpur (IITK);2017;302;36.7;India;Kanpur;Asia;Public;Very High;13.0;29;M;551
Politecnico di Torino;2017;305;36.4;Italy;Turin;Europe;Public;Very High;29.0;5.369;XL;1.050
Curtin University;2017;306;36.3;Australia;Perth;Oceania;Public;Very High;14.0;4,565;L;1,698
Bauman Moscow State Technical University;2017;306;36.3;Russia;Moscow;Europe;Public;Very High;4.0;2,370;L;4,349
Universidad Austral;2017;308;36.2;Argentina;Pilar;Latin America;Private;High;7.0;334;S;663
National Yang Ming University;2017;308;34.4;Taiwan;Taipei City;Asia;Public;Very High;4.0;237;S;965
National Taiwan Normal University;2017;310;36.0;Taiwan;Taipei City;Asia;Public;Very High;8.0;1.499;M;1.374
Pontificia Universidad Católica Argentina;2017;310;36.0;Argentina;Buenos Aires;Latin America;Private;Medium;4.0;1,063;L;3,805
Rensselaer Polytechnic Institute;2017;310;36.0;United States;Troy;North America;Private;Very High;12.0;1.594;M;639
Indian Institute of Technology Kharagpur (IIT-KGP);2017;313;35.9;India;Kharagpur;Asia;Public;Very High;15.0;27;M;770
City, University of London;2017;314;35.8;United Kingdom;London;Europe;Public;Very High;16.0;7.362;L;970
Nankai University;2017;315;35.7;China (Mainland);Tianjin;Asia;Public;Very High;11.0;1.488;XL;2.846
Tongji University;2017;315;35.7;China (Mainland);Shanghai;Asia;Public;Very High;11.0;5,095;XL;2,785
Université de Liège;2017;315;35.7;Belgium;Arlon;Europe;Public;Very High;13.0;4.381;L;1.619
Xi’an Jiaotong University;2017;318;35.6;China (Mainland);Xi'an;Asia;Public;Very High;12.0;2,266;XL;3,729
Tampere University of Technology ;2017;319;30.0;Finland;Tampere;Europe;Public;Very High;8.0;526;M;665
Ben-Gurion University of The Negev;2017;320;35.4;Israel;Be'er Sheva;Asia;Public;Very High;15.0;1.755;L;1.060
Universidade Federal do Rio de Janeiro;2017;321;35.3;Brazil;Rio de Janeiro;Latin America;Public;Very High;11.0;555;XL;3.983
Universitat Politècnica de Catalunya · BarcelonaTech (UPC);2017;321;35.3;Spain;Barcelona;Europe;Public;Very High;9.0;3,101;L;2,485
University of Porto;2017;323;35.2;Portugal;Porto;Europe;Public;Very High;14.0;3,783;L;2,028
University of Waikato;2017;324;35.1;New Zealand;Hamilton ;Oceania;Public;Very High;14.0;2.270;M;595
Universitas Indonesia;2017;325;35.0;Indonesia;Depok;Asia;Public;High;10.0;1,412;XL;4,210
University of Victoria (UVic);2017;325;35.0;Canada;Victoria;North America;Public;Very High;26.0;6.135;L;865
Université de Montpellier;2017;327;34.8;France;Montpellier;Europe;Public;Very High;17.0;6.229;XL;2.464
Heriot-Watt University;2017;327;34.8;United Kingdom;Edinburgh;Europe;Public;Very High;12.0;3,536;M;806
Tokyo Medical and Dental University (TMDU);2017;329;34.7;Japan;Tokyo;Asia;Public;Very High;3.0;325;S;930
University of Lisbon ;2017;330;34.6;Portugal;Lisbon ;Europe;Public;Very High;14.0;8.546;XL;3.389
Universiti Sains Malaysia (USM);2017;330;34.6;Malaysia;Gelugor;Asia;Public;Very High;8.0;4,198;L;2,249
Tilburg University;2017;330;34.6;Netherlands;Tilburg;Europe;Public;Very High;15.0;2.189;M;745
Essex, University of;2017;330;34.6;United Kingdom;Colchester;Europe;Public;Very High;14.0;6.124;L;1.044
Yeshiva University;2017;330;34.6;United States;New York City;North America;Private;Very High;10.0;467;S;471
Ewha Womans University;2017;335;34.5;South Korea;Seoul;Asia;Private;High;7.0;2.105;L;2.436
Griffith University;2017;336;34.4;Australia;Nathan;Oceania;Public;Very High;17.0;5,875;XL;1,918
Gwangju Institute of Science and Technology (GIST);2017;337;34.3;South Korea;Gwangju;Asia;Public;Very High;10.0;122;S;180
Università di Padova;2017;338;39.6;Italy;Padua;Europe;Public;Very High;17.0;2,654;XL;2,806
University of Jyväskylä;2017;338;34.2;Finland;Jyväskylä;Europe;Public;Very High;7.0;339;M;1.573
Massey University;2017;340;34.1;New Zealand;Palmerston North;Oceania;Public;Very High;9.0;4,836;M;1,209
James Cook University;2017;340;34.1;Australia;Townsville;Oceania;Public;Very High;11.0;1.169;M;2,940
University at Buffalo SUNY;2017;342;34.0;United States;Buffalo;North America;Public;Very High;19.0;4.409;L;1.530
Lincoln University ;2017;343;33.9;New Zealand;Lincoln;Oceania;Public;Very High;9.0;898;S;643
University of Hawaiʻi at Mānoa;2017;343;33.9;United States;Honolulu;North America;Public;Very High;9.0;1.586;L;1.640
Brunel University London;2017;345;33.8;United Kingdom;;Europe;Public;Very High;16.0;5.305;L;860
L.N. Gumilyov Eurasian National University (ENU);2017;345;33.8;Kazakhstan;Nur-Sultan;Asia;Public;Very High;5.0;1.077;L;3.350
University of Cologne;2017;347;33.6;Germany;Cologne;Europe;Public;Very High;11.0;4,890;XL;2,724
University of Tartu;2017;347;33.6;Estonia;Tartu;Europe;Public;Very High;7.0;1,400;M;1,605
University Ulm;2017;347;31.4;Germany;Ulm;Europe;Public;Very High;7.0;1,289;M;1,473
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech);2017;350;33.4;Russia;Dolgoprudny;Europe;Public;Very High;5.0;1,153;M;1,110
MGIMO University;2017;350;31.0;Russia;Moscow;Europe;Public;Very High;4.0;1,517;M;1,739
Universität Konstanz;2017;352;33.2;Germany;Konstanz;Europe;Public;Very High;11.0;1.239;M;1.039
Universidad de Belgrano;2017;352;33.2;Argentina;Buenos Aires;Latin America;Private;Medium;6.0;758;M;810
Belarusian State University;2017;354;33.0;Belarus;Minsk;Europe;Public;Very High;5.0;4,264;L;4,173
Deakin University;2017;355;32.9;Australia;Geelong;Oceania;Public;Very High;23.0;10,684;XL;1,851
Université Paris-Dauphine, Université PSL;2017;356;33.4;France;Paris;Europe;Public;High;12.0;2,039;M;697
Aston University;2017;358;32.7;United Kingdom;Birmingham;Europe;Public;Very High;16.0;1.719;M;730
University of Witwatersrand;2017;359;32.6;South Africa;Johannesburg;Africa;Public;Very High;15.0;1.885;L;1.626
Oxford Brookes University;2017;359;32.6;United Kingdom;;Europe;Public;High;15.0;3.439;L;1,471
Virginia Polytechnic Institute and State University;2017;361;32.4;United States;Blacksburg;North America;Public;Very High;12.0;4.477;XL;2.802
Northeastern University;2017;361;32.4;United States;Boston;North America;Private;Very High;12.0;7.595;L;1.723
George Washington University;2017;363;32.3;United States;Ashburn;North America;Private;Very High;11.0;4.024;L;2.016
Universität Jena;2017;363;32.3;Germany;Jena;Europe;Public;Very High;4.0;2.307;L;3.974
The American University in Cairo;2017;365;32.2;Egypt;Cairo;Africa;Private;High;10.0;213;M;578
University of Warsaw ;2017;366;32.1;Poland;Warsaw;Europe;Public;Very High;10.0;2,892;XL;3,658
Universidade Nova de Lisboa;2017;366;32.1;Portugal;Lisbon;Europe;Public;Very High;12.0;4.427;L;1.720
University of Kent;2017;366;32.1;United Kingdom;Paris;Europe;Public;Very High;13.0;3.515;L;4,000
Kobe University;2017;369;32.0;Japan;Kobe City;Asia;Public;Very High;8.0;1.216;L;1.986
University of Milan;2017;370;31.9;Italy;Milan;Europe;Public;Very High;20.0;3,269;XL;2,516
University of Tasmania;2017;370;31.9;Australia;Hobart;Oceania;Public;Very High;13.0;5,260;L;982
Université Laval;2017;372;31.8;Canada;Québec;North America;Public;Very High;11.0;3.673;L;2.290
University of Kansas;2017;373;31.7;United States;Lawrence;North America;Public;Very High;7.0;2.014;L;3.357
University of the Philippines;2017;374;31.5;Philippines;Quezon City;Asia;Public;High;9.0;292;XL;4.480
Aalborg University;2017;374;31.5;Denmark;Aalborg;Europe;Public;Very High;10.0;2.474;L;1.716
University of Colorado, Denver ;2017;374;31.5;United States;Denver;North America;Public;Very High;3.0;1.274;L;5.319
Université Paris Descartes;2017;377;31.5;France;Paris ;Europe;Public;Very High;17.0;11,387;XL;3,755
Tomsk State University;2017;377;31.4;Russia;Tomsk;Europe;Public;Very High;5.0;2,828;M;1,742
University of Tromsø The Arctic University of Norway;2017;377;31.4;Norway;Tromsø;Europe;Public;High;7.0;1.134;L;2.107
Dublin City University;2017;380;31.3;Ireland;Dublin;Europe;Public;High;11.0;1.415;L;1.257
University of Texas Dallas;2017;380;31.3;United States;Richardson;North America;Public;Very High;22.0;4.828;L;1.140
University of Eastern Finland;2017;382;31.2;Finland;Kuopio;Europe;Public;Very High;10.0;669;M;1.207
V. N. Karazin Kharkiv National University;2017;382;31.2;Ukraine;Kharkiv;Europe;Public;High;8.0;3.954;L;2.091
American University;2017;384;31.1;United States;Washington D.C.;North America;Private;High;11.0;1.305;M;1.091
University of Stirling;2017;385;31.0;United Kingdom;Stirling;Europe;Public;Very High;14.0;2.563;M;728
Colorado State University;2017;386;30.9;United States;Fort Collins;North America;Public;Very High;8.0;1.547;L;3.115
Chung-Ang University (CAU);2017;386;30.9;South Korea;Seoul;Asia;Private;Very High;8.0;3.099;L;2.650
La Trobe University;2017;386;30.9;Australia;Melbourne;Oceania;Public;Very High;20.0;9.456;L;1.252
Beijing Institute of Technology;2017;389;30.8;China (Mainland);Beijing;Asia;Public;Very High;11.0;2.115;XL;2.811
Stony Brook University, State University of New York;2017;390;30.7;United States;Stony Brook;North America;Public;Very High;11.0;6.198;L;2.316
Swansea University;2017;390;30.7;United Kingdom;Swansea;Europe;Public;High;11.0;3.641;L;3290
University of Southern Denmark (SDU);2017;390;30.7;Denmark;Odense;Europe;Public;Very High;10.0;2,511;L;1,760
University of Iowa;2017;393;30.6;United States;Iowa City;North America;Public;Very High;10.0;2.049;L;2.924
Qatar University;2017;393;30.6;Qatar;Doha;Asia;Public;Very High;8.0;3,197;M;1,163
Stellenbosch University;2017;395;30.5;South Africa;Stellenbosch;Africa;Public;Very High;25.0;1.776;L;934
Washington State University;2017;395;30.5;United States;Pullman;North America;Public;Very High;14.0;1.731;L;1.935
National Sun Yat-sen University;2017;395;30.5;Taiwan;Kaohsiung City;Asia;Public;Very High;11.0;757;M;735
National Technical University of Athens;2017;395;30.5;Greece;Athens;Europe;Public;Very High;20.0;846;L;689
Indian Institute of Technology Roorkee (IITR);2017;399;30.4;India;Roorkee;Asia;Public;Very High;17.0;202;M;499
Leibniz University Hannover;2017;400;30.3;Germany;Hanover;Europe;Public;Very High;10.0;4.157;L;2.540
